point,percOverlap2011,percOverlap2012
600,0.722754458,0.722754458
601,0.82174728,0.82174728
602,0.832613095,0.832613095
603,1,1
604,1,1
605,0.901351466,0.901351466
606,0.907672165,0.907672165
607,1,1
608,1,1
609,1,1
610,1,1
611,0.914128595,0.914128595
612,0.856652702,0.856652702
613,0.919620734,0.919620734
614,0.882467068,0.882467068
1230,0.51523776,0.51523776
1231,0.521750828,0.521750828
1232,0.502832755,0.502832755
1233,0.509716883,0.509716883
615,0.913699845,0.913699845
616,0.911348391,0.911348391
617,0.836757832,0.836757832
618,0.989162843,0.989162843
619,1,1
620,1,1
621,0.999888797,0.999888797
622,1,1
623,1,1
624,0.77251597,0.77251597
625,0.890937316,0.890937316
626,0.896373586,0.896373586
627,1,1
628,1,1
643,0.912438427,0.912438427
629,0.843690305,0.843690305
630,0.851706741,0.851706741
631,0.847884953,0.847884953
632,0.980437797,0.980437797
633,1,1
634,1,1
635,0.855882651,0.855882651
636,1,1
637,1,1
638,1,1
639,1,1
640,0.854122869,0.854122869
641,0.922984259,0.922984259
642,0.933743117,0.933743117
1234,0.613242581,0.613242581
594,1,1
595,0.902531513,0.902531513
596,1,1
597,0.992473099,0.992473099
598,0.998682282,0.998682282
599,0.877540321,0.877540321
644,0.76715934,0.76715934
645,0.860398866,0.860398866
646,0.859830715,0.859830715
647,0.984414011,0.984414011
648,1,1
649,0.921020285,0.921020285
650,0.896827602,0.896827602
651,1,1
652,0.994850858,0.994850858
194,0.710070559,0.710070559
195,0.916571459,0.916571459
196,0.913728539,0.913728539
197,0.910830762,0.910830762
198,0.686047633,0.686047633
199,0.779064297,0.779064297
200,1,1
201,1,1
202,1,1
203,0.779585973,0.779585973
204,0.771964856,0.771964856
205,1,1
206,1,1
207,0.770519729,0.770519729
208,0.626919169,0.626919169
209,0.853736235,0.853736235
210,0.87884528,0.87884528
211,1,1
212,0.687397479,0.687397479
332,0.866580694,0.866580694
333,1,1
334,1,1
335,1,1
336,1,1
337,1,1
338,0.883493473,0.883493473
418,1,1
357,0.639723528,0.639723528
358,0.785638026,0.785638026
359,0.730837136,0.730837136
360,0.971508449,0.971508449
361,1,1
362,0.784427714,0.784427714
363,0.785649787,0.785649787
364,0.960881938,0.960881938
365,0.819044239,0.819044239
366,0.963248659,0.963248659
367,1,1
368,1,1
165,0.949957034,0.949957034
166,1,1
167,1,1
168,1,1
169,0.999978595,1
170,0.787637314,1
171,0.789157069,0.945118707
172,0.790693782,0.790693782
173,0.792227897,0.792227897
174,0.73876865,0.73876865
175,0.363847445,0.363847445
176,0.367205875,0.367205875
177,0.344210271,0.344210271
178,0.357057879,0.357057879
179,0.360450377,0.360450377
1206,2.14257559082069e-06,1
1209,0.003613508,1
384,0.860454758,0.860454758
385,0.860454758,0.860454758
386,1,1
387,1,1
388,1,1
389,1,1
390,1,1
391,1,1
392,1,1
393,1,1
394,1,1
395,0.883229802,0.883229802
1224,0.73326399,0.73326399
1225,0.727570616,0.727570616
1226,0.479578053,0.479578053
401,0.676114817,0.676114817
402,0.815618444,0.815618444
403,0.811421956,0.811421956
404,0.822075282,0.822075282
405,1,1
406,1,1
407,1,1
408,1,1
409,1,1
410,1,1
411,0.790897433,0.790897433
412,0.812158859,0.812158859
1227,0.733308402,0.733308402
1228,0.738304327,0.738304327
1229,0.448216542,0.448216542
137,0.690027726,0.836543515
138,0.828582513,1
139,0.824131216,1
140,0.810449711,1
141,0.805692707,1
142,1,1
143,1,1
144,1,1
145,1,1
146,0.803403429,0.803403429
147,0.553802987,0.553802986
148,0.53441211,0.53441211
149,0.546834371,0.546834371
150,0.430897939,0.430897939
151,0.5624771,0.5624771
374,0.813323345,1
375,0.82091994,1
376,0.723357011,0.86502718
377,0.862610087,0.862610087
378,1,1
379,1,1
380,1,1
381,0.836888707,0.836888707
382,0.591496335,0.591496335
383,0.601799959,0.601799959
416,0.680147809,0.845460766
417,0.82091994,1
1201,NA,0.68225957
1202,NA,0.806100275
1203,NA,0.788846328
1204,NA,0.795820813
1205,NA,0.554124981
1207,NA,0.834899406
1208,NA,0.686506871
1210,NA,0.936977818
1211,NA,0.946069168
1212,NA,0.930813776
1213,NA,0.99496978
1214,NA,1
1215,NA,1
1216,NA,0.875616474
1217,NA,0.87422793
1218,NA,0.880295351
